4	0.0833
7	0.0833
12	0.0833
16	0.0833
19	0.0833

21	0.0833
23	0.0833
18	0.0833
14	0.0833
11	0.0833
6	0.0833
2	0.0833

0	0.0833
4	0.0833
9	0.0833
12	0.0833
16	0.0833
18	0.0833

19	0.0833
14	0.0833
11	0.0833
7	0.0833
2	0.0833
-1	0.0833

-3	0.0833
0	0.0833
4	0.0833
16	0.0833
9	0.0833
12	0.0833

21	0.0833
0	0.0833
4	0.0833
16	0.0833
9	0.0833
12	0.0833
6	0.0833
0	0.0833
4	0.0833
16	0.0833
9	0.0833
12	0.0833
21	0.0833
0	0.0833
7	0.0833
24	0.0833
12	0.0833
16	0.0833
-10	0.0833
-3	0.0833
0	0.0833
24	0.1
6	0.12
9	0.15
12	0.18
16	0.21
18	0.25
16	0.3
23	0.45
21	0.6
19	1.0
